Item,Amount,Value
برتقال طازج أو مجفف,479.4,ألف دولار
مكسبات طعم ورائحه,303.6,ألف دولار
يوسفى طازج أو مجفف,141.4,ألف دولار
محضرات واصناف صيدليه اخر,58.3,ألف دولار
كرنب أفرنجى و بروكلى طازج,28.7,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,22.8,ألف دولار
خس ملفوف وكرنبى,18.9,ألف دولار
عصير خليط,16.2,ألف دولار
فراوله طازجه,13.2,ألف دولار
خضروات مجمدة او مبردة,12.2,ألف دولار
جـــــزر,9.2,ألف دولار
بطاطا طازجه أو مجففه,7.5,ألف دولار
بطيخ طازج,7.2,ألف دولار
,5.8,ألف دولار
مانجوستين طازجةاو مجففه,5.8,ألف دولار
قرنبيــط,3.9,ألف دولار
خيـــــار و قثه طازجه,3.2,ألف دولار
فاكهه أخرى طازجه,2.9,ألف دولار
مخاليط خضروات مجمده,2.9,ألف دولار
كيوى طازج,2.4,ألف دولار
برقوق طازج,2.3,ألف دولار
بصل وكرات بشوشه,2.3,ألف دولار
شمام طازج ما عدا البطيخ,1.7,ألف دولار
فجل أفرنجى,1.6,ألف دولار
كرفس طازج أو مثلج,1.3,ألف دولار
جريب فروت طازج أو مجفف,1.1,ألف دولار
بنجر السكر,0.6,ألف دولار
كرات طازج,0.6,ألف دولار
فاصولياخضراء و فول أخضر,0.5,ألف دولار
ذرة أخرى,0.5,ألف دولار
عنب طازج,0.3,ألف دولار
سحلب مطحون,0.2,ألف دولار
نباتات طبيه أخرى,0.2,ألف دولار
,0.1,ألف دولار
أفوكادو طازج أو جاف,0.1,ألف دولار
بهارات اخرى,0.0,ألف دولار
مانبوك أو كسافا طازجه أو مجففه,0.0,ألف دولار
موالح أخرى طازج أو مجفف,0.0,ألف دولار
سبانخ خضراء طازجه,0.0,ألف دولار
"اغصان وارقه, اوراق, شجيرات, نباتات اخرى",0.0,ألف دولار
عش الغراب طازج أو مثلج,0.0,ألف دولار
